ID,Tên sản phẩm,Phân loại,Giá,Giá gốc,Nhãn (Badge),Mô tả ngắn,Danh mục,Dung tích (Capacity),Thẻ (Tags),Ảnh chính,Ảnh bổ sung,Mô tả chi tiết,Video URL
1,MÓC KHÓA IN THEO YÊU CẦU,In hình,20.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",moc-khoa-in-theo-yeu-cau-1,"moc-khoa-in-theo-yeu-cau-2, moc-khoa-in-theo-yeu-cau-3, moc-khoa-in-theo-yeu-cau-4, moc-khoa-in-theo-yeu-cau-5, moc-khoa-in-theo-yeu-cau-6, moc-khoa-in-theo-yeu-cau-7, moc-khoa-in-theo-yeu-cau-8","Móc Khóa In Theo Yêu Cầu – Dấu Ấn Cá Nhân, Trọn Vẹn Cảm Xúc
Dù mang thiết kế nhỏ gọn nhưng móc khóa in theo yêu cầu lại là nơi lưu giữ trọn vẹn những kỷ niệm vô giá. Sản phẩm cực kỳ đa năng, hoàn hảo và phù hợp với mọi dịp từ lễ tốt nghiệp, sinh nhật, kỷ niệm tình yêu cho đến món quà bất ngờ dành tặng hội bạn thân.
Bạn có thể thỏa sức sáng tạo, in hình ảnh, lời chúc hoặc tọa độ đặc biệt mang câu chuyện của riêng mình. Chỉ với một mức ngân sách vô cùng tiết kiệm, bạn đã sở hữu ngay một món quà độc bản, tinh tế và đầy chân thành, để người thương yêu luôn mang theo bên mình mỗi ngày!",https://drive.google.com/file/d/1cpaL8omvi7AbWlcRAIelfGSRtSw75jMq/view?usp=sharing
,,Spotify,22.000 đ,,,,,,,,,,
,,Kỷ niệm,22.000 đ,,,,,,,,,,
,,2 mặt khác nhau,27.000 đ,,,,,,,,,,
2,MÓC KHÓA IN VÂN TAY (1 SET 02 MÓC),Tình yêu,50.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine",moc-khoa-in-van-tay-1,"moc-khoa-in-van-tay-2, moc-khoa-in-van-tay-3, moc-khoa-in-van-tay-4, moc-khoa-in-van-tay-5, moc-khoa-in-van-tay-6, moc-khoa-in-van-tay-7","Móc Khóa In Vân Tay – Dấu Ấn Độc Bản, Gắn Kết Yêu Thương
Mang thiết kế nhỏ gọn nhưng đong đầy ý nghĩa, móc khóa in vân tay theo yêu cầu là món quà tặng hoàn hảo giúp gắn kết tình cảm lứa đôi, gia đình hay những người bạn thân thiết.
Mỗi sản phẩm được Tiệm trao đi là một set quà vô cùng tinh tế, bao gồm đầy đủ đồ để in vân tay chuyên dụng. Chỉ với vài thao tác cực kỳ dễ dàng thực hiện tại nhà, bạn đã có thể tự tay tạo ra một kỷ vật mang đậm dấu ấn cá nhân không thể trộn lẫn. Một món quà nhỏ bé nhưng chứa đựng trọn vẹn sự chân thành, giúp bạn lưu giữ và mang theo hơi ấm của người thương yêu đi muôn nơi!",https://drive.google.com/file/d/1PcsYDGZPMoTTh8aXY3kDUhAu7Tr5Z3y3/view?usp=sharing
,,Kỷ niệm,50.000 đ,,,,,,,,,,
,,Tình bạn,50.000 đ,,,,,,,,,,
3,HUY CHƯƠNG IN THEO YÊU CẦU,Tặng bạn nam,50.000 đ,,,,Sản phẩm lẻ,,"Kỷ niệm, Sinh nhật, Đám cưới, Valentine, 8/3, 20/10, 20/11",huy-chuong-in-theo-yeu-cau-1,"huy-chuong-in-theo-yeu-cau-2, huy-chuong-in-theo-yeu-cau-3, huy-chuong-in-theo-yeu-cau-4, huy-chuong-in-theo-yeu-cau-5, huy-chuong-in-theo-yeu-cau-6, huy-chuong-in-theo-yeu-cau-7, huy-chuong-in-theo-yeu-cau-8, huy-chuong-in-theo-yeu-cau-9, huy-chuong-in-theo-yeu-cau-10","Huy Chương In Theo Yêu Cầu – Vinh Danh Dấu Ấn Độc Bản
Nếu bạn đang tìm kiếm một món quà tặng độc đáo để tạo sự bất ngờ, huy chương in theo yêu cầu chính là lựa chọn hoàn hảo. Bằng cách tự do sáng tạo nội dung, danh hiệu và hình ảnh, mỗi chiếc huy chương đều trở thành một tác phẩm độc bản, mang đậm câu chuyện riêng của người nhận.
Sản phẩm vô cùng linh hoạt, cực kỳ phù hợp với mọi dịp: từ quà tặng lễ tốt nghiệp rực rỡ, ngày kỷ niệm tình yêu, vinh danh đồng nghiệp xuất sắc, cho đến những phần thưởng ""lầy lội"" của hội bạn thân. Dù nhỏ nhắn, chiếc huy chương chắc chắn là kỷ vật vô giá gói trọn sự trân trọng và niềm vui bất ngờ!",
,,Tặng bạn nữ,50.000 đ,,,,,,,,,,
,,Tặng tốt nghiệp,50.000 đ,,,,,,,,,,
